symbol,mcap_cr
DUROPACK,28.72
DUROPLY,154.32
DUTRON,64.15
DVL,851.45
DWARKESH,756.73
DWL,4.83
DYCL,1523.76
DYNAMATECH,6819.74
DYNAMICP,26.07
DYNAMIND,32.53
DYNAVSN,69.55
DYNMICR,3.36
DYNPRO,286.06
E2E,7070.22
EARKART,195.34
EARTH,22.66
EASEMYTRIP,2711.83
EASTBUILD,10.54
EASTERNGAS,14.14
EASTINDIA,157.71
EASTRED,15.3
EASTSILK,28.4
EASTWEST,37.74
EASUN,23.81
EASUNREYRL,7.7
EASYFIN,24.25
EBGNG,4336.41
EBIX,647.26
ECLERX,16097.64
ECOBOAR,138.77
ECOHOTELS,70.03
ECOPLAST,159.43
ECORECO,796.56
ECOSMOBLTY,896.13
ECS,20.39
ECSTSTL,10.03
EDELWEISS,10716.5
EDUCOMP,12.27
EDVENSWA,80.3
EENTER,0.44
EFCIL,2951.51
EFORU,50.0
EICHERMOT,199680.77
EIDPARRY,14884.89
EIEL,3212.4
EIFFL,617.67
EIGHTY,32.99
EIHAHOTELS,1963.71
EIHOTEL,20063.77
EIKO,71.9
EIMCOELECO,928.3
EKAMLEA,3.81
EKANSH,305.26
EKC,1272.75
EKENNIS,20.05
EKI,248.24
ELAND,65.9
ELANGO,4.12
ELANTAS,7180.96
ELCIDIN,2276.88
ELDEHSG,832.8
ELECON,10260.3
ELECTCAST,4718.39
ELECTHERM,1023.72
ELEFLOR,9.68
ELEMARB,57.73
ELFIN,119.08
ELFORGE,32.52
ELGIEQUIP,16509.29
ELGIRUBCO,223.73
ELIN,628.88
ELITECON,8164.51
ELIXIR,61.65
ELLEN,3609.42
ELLOPAP,10.84
ELNET,133.57
ELPROINTL,1903.48
EMAINDIA,54.69
EMAMILTD,19562.36
EMAMIPAP,484.74
EMAMIREAL,343.17
EMBASSY,40930.26
EMBDL,8142.38
EMCURE,30230.9
EMERALD,214.98
EMERALL,283.95
EMERGENT,202.27
EMGEECA,1.59
EMIAC,126.77
EMIL,3997.82
EMKAY,633.77
EMMBI,167.96
EMMESSA,13.05
EMMFORCE,253.94
EMMSONS,2.64
EMMVEE,17007.51
EMPEESUG,2.43
EMPIND,556.02
EMPOWER,200.59
EMROCK,287.11
EMSLIMITED,1857.15
EMUDHRA,3840.14
ENBETRD,35.87
ENCASH,10.66
ENCHANTE,2.65
ENCODE,3.86
ENDURANCE,35050.11
ENERGYDEV,79.51
ENGINERSIN,12113.26
ENIL,530.76
ENKEIWHEL,763.01
ENNORE,3.18
ENRIN,106264.58
ENTERO,5044.11
ENTRINT,6.57
ENVAIREL,30.91
EON,11.78
EPACK,2357.52
EPACKPEB,2001.72
EPBIO,16.5
EPIC,26.72
EPIGRAL,4655.45
EPL,6869.47
EPSOMPRO,6.04
EPUJA,17.65
EQUILATERA,27.33
EQUIPPP,184.61
EQUITASBNK,7606.76
ERABUILD,63.04
ERAINFRA,47.42
ERIS,19066.97
EROSMEDIA,75.68
ERPSOFT,23.33
ESABINDIA,8952.08
ESAFSFB,1395.28
ESARIND,21.17
ESCORP,121.56
ESCORTS,36171.15
ESHAMEDIA,22.78
ESKAY,5.9
ESPIRE,380.38
ESQRMON,1.21
ESSARSHPNG,521.69
ESSENTIA,178.07
ESSEX,49.76
ESTER,916.65
ETERNAL,247378.98
ETHOSLTD,6522.19
ETIL,13.64
EUPHORIAIT,9.84
EUREKAFORB,9547.82
EUREKAI,38.02
EUROBOND,419.29
EUROCERA,3.74
EUROLED,8.13
EUROMULTI,3.4
EUROPRATIK,2601.77
EUROTEXIND,13.14
EVANS,51.15
EVEREADY,2344.76
EVERESTIND,623.85
EVERESTO,306.59
EVERFIN,64.64
EVEXIA,254.86
EVOQ,7.63
EXATO,358.46
EXCELINDUS,1169.3
EXCELSOFT,952.68
EXHICON,703.33
EXICOM,1587.14
EXIDEIND,29229.66
EXPLEOSOL,1296.08
EXPLICITFIN,9.03
EXPOEAPL,140.07
EXXARO,313.8
EY,173.61
FAALCON,31.11
FABCLEAN,369.95
FABINO,3.53
FABTECH,703.38
FACORALL,53.87
FACORSTE,5.58
FACT,54490.25
FAIRCHEMOR,764.34
FAMILYCARE,17.58
FAZE3Q,1145.96
FCL,3155.26
FCONSUMER,69.3
FCSSOFT,277.33
FDC,6091.36
FEDDERSHOL,816.65
FEDERALBNK,70657.94
FEDFINA,5478.79
FEL,32.13
FENOPLAS,6.0
FERMENTA,954.01
FERVENTSYN,89.17
FFPL,4.7
FGP,12.17
FIBERWEB,102.67
FIEMIND,5813.05
FIL,166.21
FILATEX,2023.3
FILATFASH,200.71
FILME,7.62
FILTRA,66.73
FILTRON,432.72
FINCABLES,13979.49
FINELINE,36.97
FINEORG,13894.55
FINKURVE,1019.08
FINOPB,1402.51
FINPIPE,10884.76
FIRSTCRY,12516.48
FIRSTFIN,7.46
FISCHER,2450.23
FIVESTAR,13274.36
FLAIR,3227.45
FLEXFO,52.66
FLEXITUFF,27.04
FLFL,27.91
FLOMIC,88.56
FLORACORP,7.06
FLUIDOM,342.82
FLUOROCHEM,37942.14
FMEC,79.21
FMGOETZE,2412.72
FMNL,54.83
FOCUS,509.14
FONE4,21.24
FOODSIN,435.57
FORBESCO,438.27
FORCEMOT,26915.93
FORINTL,48.92
FORTIS,68481.5
FORTISMLR,101.41
FOSCL,4.09
FOSECOC,753.54
FOSECOIND,3658.22
FRACTAL,15452.36
FRANKLIN,14.63
FRANKLININD,33.61
FRASER,8.51
FRATELLI,378.46
FREDUN,1014.3
FRETAIL,130.69
FRONTCAP,13.04
FRONTCORP,16.2
FRONTFN,3.41
FRONTSP,1731.96
FRUTION,14.08
FSL,17783.58
FTL,6.28
FUNDVISER,224.09
FUSION,2767.47
FUTSOL,44.52
FUTURAPOLY,21.13
FUTURSEC,7.22
FYNX,111.88
GABRIEL,14343.45
GAEL,6720.72
GAGAN,9.35
GAIL,106346.15
GAJANANSEC,18.25
GAJRA,2.6
GALACTICO,34.67
GALADA,5.63
GALADAFIN,8.87
GALAGEX,72.78
GALAPREC,1036.58
GALAXYSURF,6523.77
GALLANTT,15531.81
GALLARD,147.34
GALLOPENT,11.22
GALXBRG,158.6
GAMCO,218.05
GAMMONIND,53.48
GANDHAR,1453.18
GANDHITUBE,1002.53
GANECOS,2357.58
GANESHBE,633.33
GANESHCP,782.69
GANESHHOU,5773.08
GANGAFORGE,38.47
GANGAPA,81.92
GANGAPHARM,7.08
GANGESSECU,123.82
GANGOTRI,2.02
GANHOLD,8.24
GANONPRO,14.1
GANVERSE,63.89
GARBIFIN,13.86
GARFIBRES,6467.42
GARGFUR,68.04
GARGI,927.91
GARLNIN,1.53
GARMNTMNTR,64.7
GARNET,113.9
GARNETINT,115.73
GARODCH,7.68
GARUDA,1610.16
GARWAMAR,13.89
GARWAOFFS,149.64
GARWSYN,11.73
GATECH,63.95
GATEWAY,2871.44
GAUDIUMIVF,732.1
GAYAHWS,55.54
GAYAPROJ,300.06
GAYATRI,63.66
GAYATRIBI,108.04
GBFL,12.74
GBGLOBAL,3.25
GBLINFRA,4.52
GBLOGISTIC,32.87
GCCL,3.6
GCCLINP,34.65
GCMCAPI,6.83
GCMCOMM,3.24
GCMSECU,13.02
GCONNECT,5.91
GCSL,822.15
GDIL,1.62
GDLLEAS,48.65
GEE,387.7
GEECEE,632.81
GEEKAYWIRE,268.86
GEETANJ,2.73
GEL,90.25
GEMAROMA,887.93
GEMENVIRO,97.62
GEMSI,11.97
GEMSPIN,33.49
GENCON,250.11
GENESYS,1224.02
GENNEX,251.4
GENPHARMA,65.01
GENSOL,88.94
GENUSPAPER,318.96
GENUSPOWER,8719.39
GENUSPRIME,38.12
GEOJITFSL,1909.03
GESHIP,19974.07
GETALONG,11.97
GFLLIMITED,519.25
GFSTEELS,35.23
GGAUTO,181.17
GGDPROP,30.94
GGENG,78.29
GGL,13.44
GGPL,9.2
GHCL,4481.92
GHCLTEXTIL,789.83
GHUSHINE,9.68
GHVINFRA,1907.77
GIANLIFE,7.66
GICHSGFIN,836.48
GICL,424.29
GICRE,66601.01
GILADAFINS,17.97
GILLANDERS,195.65
GILLETTE,26111.59
GINISILK,32.31
GINNIFILA,347.98
GIPCL,2290.79
GITANJALI,12.57
GITARENEW,32.58
GKB,30.51
GKCONS,13.3
GKENERGY,2498.38
GKL,60.07
GKP,13.51
GKSL,915.56
GKWLIMITED,998.11
GLAAMUP,14.51
GLANCE,40.85
GLAND,31085.04
GLAXO,40593.39
GLCL,12.41
GLEN,178.97
GLENMARK,60775.22
GLFL,16.98
GLHRL,15.77
GLITTEKG,110.21
GLOBAL,497.49
GLOBALCA,20.85
GLOBALE,12.78
GLOBALLOG,183.69
GLOBALVECT,240.83
GLOBE,114.15
GLOBECIVIL,281.59
GLOBTIER,33.3
GLOBUSCON,132.89
GLOBUSSPR,2706.99
GLOSTERLTD,670.05
GLOTTIS,512.77
GLPL,44.04
GMBREW,2248.54
GMDCLTD,19358.87
GMETCOAL,5.94
GMMPFAUDLR,4059.3
GMPL,89.87
GMRAIRPORT,103220.5
GMRP&UI,8103.95
GNA,1697.65
GNFC,6954.73
GNRL,1267.69
GOACARBON,340.63
GOBLIN,11.91
GOCLCORP,1509.44
GOCOLORS,1788.17
GODAVARI,83.41
GODAVARIB,1491.51
GODFRYPHLP,33668.54
GODIGIT,29636.11
GODREJAGRO,11132.69
GODREJCP,112832.09
GODREJIND,33664.21
GODREJPROP,52518.08
GOEL,26.11
GOELCONS,469.68
GOENKA,26.63
GOGIACAPGL,44.08
GOKAKTEX,42.86
GOKEX,5009.98
GOKUL,390.11
GOKULAGRO,5770.9
GOLCA,7.02
GOLDCOINHF,4.78
GOLDENCREST,164.4
GOLDENTOBC,48.58
GOLDIAM,4183.31
GOLDLEG,14.71
GOLDTECH,221.33
GOLECHA,15.31
GOLKONDA,4.16
GOLKUNDIA,175.07
GONTER,6.54
GOODLUCK,3972.12
GOODRICKE,356.83
GOODYEAR,1789.36
GOPAL,3641.12
GORANIN,29.2
GOTHIPL,38.7
GOURMET,157.75
GOWRALE,63.24
GOYALALUM,100.55
GOYALASS,4.68
GPAPL,83.86
GPIL,18303.83
GPPL,7833.96
GPSL,121.59
GPTHEALTH,1105.04
GPTINFRA,1430.88
GRADIENTE,138.83
GRAMEVA,30.49
GRANDMA,6.23
GRANDOAK,1662.22
GRANULES,16081.77
GRAPHITE,13066.83
GRASIM,194967.33
GRATEXI,6.09
GRAUWEIL,3132.03
GRAVISSHO,211.64
GRAVITA,11844.8
GRAVITY,55.15
GREAVESCOT,3875.42
GREENCREST,18.92
GREENLAM,6019.86
GREENPANEL,2525.17
GREENPLY,3000.4
GREENPOWER,1242.05
GRERENEW,169.76
GRINDWELL,18578.74
GRINFRA,8925.48
GRMOVER,2835.09
GROARC,13.1
GROBTEA,106.9
GROVY,56.46
GROWINGTON,52.28
GROWW,112112.84
GRPLTD,961.98
GRSE,29290.81
GRWRHITECH,10253.82
GSAUTO,71.76
GSBFIN,21.06
GSFC,6709.93
GSLNOVA,1.43
GSLSEC,20.24
GSLSU,287.54
GSLTD,82.19
GSPCROP,1945.42
GSPL,15817.57
GSS,36.29
GSTL,72.18
GTECJAINX,21.91
GTEIT,4.04
GTIL,88.49
GTL,115.98
GTLINFRA,1566.67
GTNINDS,39.89
GTNTEX,10.56
GTPL,782.98
GTTDATA,236.75
GTV,296.23
GUFICBIO,3116.17
GUJALKALI,4249.04
GUJAPOLLO,496.47
GUJARATPOLY,52.71
GUJCONT,97.58
GUJCOTEX,47.04
GUJCRAFT,51.06
GUJCRED,7.67
GUJCYPROM,1.08
GUJGASLTD,28259.25
GUJHOTE,72.95
GUJHYSPIN,16.89
GUJINJEC,118.44
GUJINTRX,150.15
GUJINV,15.14
GUJJUBHAI,170.72
GUJPE,1.59
GUJPETR,35.13
GUJRAFFIA,22.15
GUJSTATFIN,98.05
GUJTERC,29.43
GUJTHEM,3733.23
GUJTLRM,83.72
GUJWIND,3.81
GULFOILLUB,5018.87
GULFPETRO,171.83
GULPOLY,1041.04
GVBL,8.16
GVFILM,65.22
GVKPIL,461.6
GVL,106.05
GVPIL,3703.26
GVPTECH,114.94
GVT&D,102438.37
GYANDEV,12.19
GYFTR,1448.99
HAL,283580.75
HALDER,311.34
HALDYNGL,523.43
HALEOSLABS,411.59
HAMPS,18.7
HAMPTON,306.01
HANMAN,4.48
HANNAH,171.79
HANSUGAR,8.09
HAPPSTMNDS,5829.69
HAPPYFORGE,12069.64
HARAFIN,1351.37
HARCR,7.48
HARDCAS,49.3
HARDWYN,1016.65
HARIAAPL,8.48
HARIAEXPO,7.47
HARIKANTA,72.68
HARIOMPIPE,1123.16
HARISH,21.47
HARLETH,30.34
HARRMALAYA,348.88
HARSHA,3491.74
HARSHDEEP,145.2
HARSHILAGR,37.51
HARYNACAP,77.66
HASTIFIN,8.3
HATHWAY,1928.16
HATHWAYB,9.88
HATSUN,20664.29
HAVELLS,80757.49
HAVISHA,23.68
HAWAENG,29.5
HAWKINCOOK,3980.98
HAZOOR,745.94
HBEL,11.58
HBESD,162.63
HBGHOTELS,203.13
HBLEAS,15.21
HBLENGINE,21191.44
HBPOR,64.36
HBSL,41.96
HCC,5234.26
HCG,8754.95
HCKKVENTURE,13.57
HCL-INSYS,410.52
HCLTD,1.16
HCLTECH,371546.26
HDBFS,56780.5
HDFCAMC,111796.95
HDFCBANK,1286453.23
HDFCLIFE,139786.96
HDIL,101.79
HEADSUP,16.85
HEALINV,0.08
HEALTHX,927.06
HEALTHYLIFE,41.0
HECPROJECT,130.34
HEERAISP,4.21
HEG,10863.54
HEIDELBERG,3607.81
HELLOJI,43.01
HELPAGE,22.32
HEMACEM,28.85
HEMANG,19.35
HEMIPROP,3878.1
HEMORGANIC,5.39
HERANBA,808.03
HERCULES,401.77
HERITGFOOD,3248.18
HEROMOTOCO,106193.12
HESTERBIO,1393.39
HEXAGON,676.24
HEXATRADEX,901.24
HEXT,32736.82
HFCL,16316.66
HFIL,80.01
HGINFRA,3866.62
HGM,71.42
HGS,1879.54
HIGHENE,499.38
HIGHNESS,75.89
HIIL,546.0
HIKAL,2391.99
HIKLASS,149.16
HILIKS,56.85
HILINFRA,368.81
HILLTONE,67.5
HILTON,105.15
HIMATSEIDE,1149.94
HIMTEK,198.69
HINDADH,155.32
HINDALCO,221152.7
HINDALUMI,65.95
HINDAPL,103.98
HINDBIO,8.08
HINDCOMPOS,620.81
HINDCON,112.15
HINDCOPPER,52824.11
HINDHARD,122.93
HINDMILL,27.58
HINDMOTORS,346.81
HINDOILEXP,2008.36
HINDPETRO,85446.13
HINDTIN,118.54
HINDUNILVR,529072.74
HINDUST,20.53
HINDWAREAP,1890.03
HINDZINC,252528.13
HIPOLIN,21.4
HIRAUTO,56.83
HIRECT,2866.54
HISARMETAL,84.07
HISARSP,19.78
HITECH,1729.98
HITECHCORP,303.27
HITECHGEAR,1182.64
HITKITGLO,15.7
HITTCO,6.92
HLEGLAS,2412.09
HLVLTD,537.89
HMAAGRO,1247.7
HMEML,66.98
HMT,2618.72
HMVL,513.82
HNDFDS,6033.07
HOCL,217.31
HOM,40.14
HOMEFIRST,11447.6
HONASA,10746.65
HONAUT,28410.61
HONDAPOWER,2208.93
HORIZON,274.11
HOTLSILV,18.48
HOWARHO,22.28
HPAL,338.24
HPBL,211.11
HPCOTTON,41.79
HPIL,147.42
HPL,2214.01
HRBFLOR,2.05
HRMNYCP,30.13
HRS,438.31
HRYNSHP,63.34
HSCL,26576.12
HSIL,412.66
HTMEDIA,458.7
HUBTOWN,2974.85
HUDCO,39894.26
HUHTAMAKI,1349.1
HVL,12.13
HYBRIDFIN,56.56
HYPERSOFT,786.5
HYUNDAI,163324.23
IBINFO,66.26
IBULLSLTD,3581.32
ICDSLTD,57.41
ICEMAKE,1221.04
ICICIAMC,152775.07
ICICIBANK,948443.53
ICICIGI,91284.53
ICICIPRULI,83329.44
ICIL,5672.42
ICL,20.66
ICODEX,67.57
ICON,44.74
ICONIKSPEV,151.15
ICRA,5346.1
ICSA,2.74
ICSL,15.72
IDBI,94172.32
IDEA,123358.48
IDEAFORGE,2491.24
IDENTIXWEB,76.64
IDFCFIRSTB,63345.5
IDM,7.19
IDREAM,4.92
IECEDU,40.41
IEX,11334.33
IFBAGRO,935.71
IFBIND,4762.66
IFCI,16668.68
IFGLEXPOR,1269.53
IFINSEC,547.97
IFINSER,10.47
IFL,54.94
IGARASHI,1182.75
IGCIL,7.9
IGCL,409.26
IGIL,14586.43
IGL,23297.33
IGLFXPL-B,2.39
IGPL,1219.21
IGRL,6.66
IIFL,21385.43
IIFLCAPS,10109.94
IIRM,652.2
IISL,8.24
IITL,320.43
IITLPROJ,23.13
IKIO,1155.66
IKOMA,90.96
IKS,26923.48
IL&FSENGG,345.58
IL&FSTRANS,80.9
IMAGICAA,2583.65
IMEC,36.76
IMFA,7285.36
IMPAL,1295.9
IMPEXFERRO,16.03
INA,2620.98
INANI,23.74
INANISEC,10.36
INCAP,39.55
INCON,6.21
INCREDIBLE,165.09
INDAG,255.78
INDAGIV,17.01
INDBANK,151.98
INDBNK,44.07
INDCEMCAP,29.13
INDCTST,20.51
INDERGR,11.89
INDGELA,245.58
INDGN,11882.48
INDHOTEL,94198.53
INDIACEM,12625.81
INDIAGLYCO,6298.94
INDIAHOME,46.83
INDIAHOMES,683.73
INDIAMART,12641.15
INDIANACRY,78.1
INDIANB,118258.61
INDIANCARD,126.35
INDIANHUME,1796.87
INDIANVSH,29.49
INDIASHLTR,8363.62
INDICAP,8.2
INDIGO,178593.79
INDIGOPNTS,4552.31
INDINFO,107.23
INDINFRA,2.28
INDIQUBE,3572.29
INDITALIA,1.01
INDLEASE,12.15
INDLMETER,5.23
INDNIPPON,1820.67
INDOAMIN,844.81
INDOBELL,38.42
INDOBORAX,887.99
INDOCITY,12.54
INDOCO,1946.49
INDOCRED,5.24
INDOEURO,10.27
INDOFARM,696.57
INDOKEM,1635.3
INDONG,16.71
INDORAMA,1027.62
INDOSMC,474.12
INDOSTAR,3446.01
INDOTECH,2000.81
INDOTHAI,3314.3
INDOUS,222.26
INDOWIND,169.32
INDPRUD,977.17
INDRAMEDCO,3645.33
INDRANIB,57.4
INDRENEW,15.68
INDSILHYD,110.57
INDSUCR,128.07
INDSWFTLAB,1153.56
INDTERRAIN,162.69
INDTONER,257.72
INDUSFILA,2.63
INDUSFINL,68.42
INDUSINDBK,69581.45
INDUSTOWER,113369.05
INDXTRA,83.04
INFINITY,208.2
INFLAME,208.78
INFOBEAN,1735.84
INFODRIVE,6.55
INFOMEDIA,28.5
INFONATIVE,33.04
INFORTEC,34.18
INFRAIND,5.68
INFRONICS,14.39
INFY,536257.83
INGERRAND,12277.05
INLANPR,23.78
INLCM,329.6
INNOCORP,3.69
INNOKAIZ,14.36
INNOVACAP,4362.29
INNOVANA,764.61
INNOVATIVE,22.56
INNOVATORS,282.29
INNOVATUS,34.25
INNOVISION,748.01
INNOVTEC,34.03
INOVSYNTH,598.65
INOXGREEN,6752.03
INOXINDIA,12255.63
INOXWIND,16633.12
INRADIA,1.27
INSECTICID,1918.22
INSILCO,52.43
INSPIRISYS,369.83
INTCAPL,6.89
INTECCAP,23.84
INTEGFD,151.88
INTEGHIT,3.64
INTEGRAEN,630.65
INTEGSW,44.36
INTELLECT,10423.41
INTENTECH,241.5
INTERARCH,3217.42
INTERDIGI,11.25
INTETHR,4.84
INTLCOMBQ,118.54
INTLCONV,499.68
INTLNKP,8.05
INTRGLB,87.97
INTSTOIL,16.97
INVENTURE,108.8
INVIGO,24.7
INVPRECQ,572.64
IOB,66335.1
IOC,215441.2
IOLCP,2709.82
IONEXCHANG,5446.07
IPCALAB,38654.57
IPL,1812.44
IPOWER,11.77
IPRINGLTD,144.37
IRB,25451.49
IRCON,13673.65
IRCTC,45248.67
IREDA,35718.03
IRFC,136808.15
IRIS,521.95
IRISDOREME,652.84
IRMENERGY,1031.32
IRONWOOD,72.86
ISERA,49.12
ISFL,8.65
ISFT,129.47
ISGEC,6757.32
ISHANCH,156.13
ISHITADR,22.58
ISHWATR,0.72
ISLCONSUL,62.06
ISTLTD,804.85
ISTRNETWK,174.41
ITC,386419.1
ITCHOTELS,34846.52
ITCONS,225.98
ITDC,4650.95
ITHL,261.37
ITI,27632.5
ITL,90.52
IVALUE,1323.78
IVC,240.19
IVP,150.76
IVRCLINFRA,30.53
IWP,216.76
IXIGO,8075.49
IYKOTHITE,16.46
IZMO,1140.2
J&KBANK,13681.02
JACKSON,13.42
JAFINANCE,90.68
JAGAJITIND,589.82
JAGANLAM,41.18
JAGJANANI,7.15
JAGRAN,1440.0
JAGSNPHARM,1279.5
JAGSONSER,99.96
JAIBALAJI,6326.58
JAICORPLTD,1974.69
JAIHIND,27.87
JAIMATAG,18.41
JAINCO,5.04
JAINEX,26.92
JAINMARMO,6.38
JAINREC,14191.27
JAINSTUDIO,6.74
JAIPAN,16.33
JAIPURKURT,61.98
JALPAC,4.79
JAMEHOT,9.3
JAMESWARREN,130.53
JAMNAAUTO,5035.2
JAMSHRI,56.34
JANUSCORP,11.76
JARO,1051.09
JASCH,117.22
JASH,2574.81
JATALIA,0.53
JATTAINDUS,180.24
JAUSPOL,11.43
JAYAGROGN,584.18
JAYANT,65.73
JAYATMA,8.85
JAYBARMARU,1126.92
JAYBHCR,9.11
JAYCH,19.18
JAYIND,7.97
JAYKAILASH,11.88
JAYKAY,2119.25
JAYNECOIND,8445.1
JAYSREETEA,245.43
JAYSYNTH,176.72
JAYTEX,998.49
JAYUSH,337.92
JBCHEPHARM,32608.88
JBFIND,36.19
JBMA,14344.07
JCTLTD,105.07
JDCABLES,441.61
JENBURPH,476.2
JETAIRWAYS,386.69
JETFREIGHT,87.95
JETKINGQ,73.66
JETMALL,27.0
JETSOLAR,17.43
JFL,44.69
JGCHEM,1465.94
JGTL,228.36
JHACC,174.38
JHS,77.89
JIGAR,58.0
JINDALPHOT,1230.55
JINDALPOLY,2811.76
JINDALSAW,13267.68
JINDALSTEL,119287.7
JINDCAP,24.19
JINDHOT,45.67
JINDRILL,1556.28
JINDWORLD,2626.81
JIOFIN,159487.43
JISLJALEQS,2457.55
JITFINFRA,791.29
JIYAECO,10.86
JJEXPO,3.34
JJFINCOR,13.95
JKAGRI,156.39
JKCEMENT,42151.67
JKIL,3907.49
JKIPL,304.96
JKLAKSHMI,8279.24
JKPAPER,5953.48
JKPHARMA,11.22
JKTYRE,12633.02
JLHL,8479.21
JLL,19.01
JMA,193.1
JMDVL,16.68
JMFINANCIL,12453.85
JMGCORP,13.89
JMJFIN,30.44
JNKINDIA,1713.58
JOCIL,117.14
JOHNPHARMA,29.99
JOINDRE,63.15
JOINTECAED,5.35
JOJO,608.07
JOLYPLS,34.33
JONJUA,10.72
JOSTS,296.71
JPOLYINVST,1143.11
JPPOWER,11564.44
JPTRLES,0.4
JPTSEC,6.31
JSFB,4364.53
JSHL,4.65
JSL,62024.14
JSLINDL,117.56
JSLL,8092.0
JSTL,135.58
JSWCEMENT,16777.53
JSWDULUX,13663.76
JSWENERGY,91439.61
JSWHL,16396.7
JSWINFRA,56662.02
JSWSTEEL,300885.96
JTEKTINDIA,3739.23
JTLDEFENCE,146.58
JTLIND,2610.11
JUBLCPL,2831.8
JUBLFOOD,31407.64
JUBLINGREA,10325.21
JUBLPHARMA,14963.99
JULIEN,21.6
JUMBFNL,8.29
JUMBO,50.37
JUNE,26.69
JUNGLECAMP,74.92
JUNIPER,4774.61
JUPITERIN,52.81
JUSTDIAL,4924.57
JUSTO,179.03
JWL,12176.28
JYOTHYLAB,8538.63
JYOTI,116.3
JYOTICNC,17575.8
JYOTIOVR,0.34
JYOTIRES,1106.41
JYOTISTRUC,1361.92
KAARYAFSL,25.5
KABRADG,64.76
KABRAEXTRU,807.35
KABSON,29.95
KACHCHH,15.14
KACL,27.88
KAHAN,12.29
KAILASH,37.57
KAIRA,128.7
KAIZENAGRO,50.65
KAJALSY,0.46
KAJARIACER,16444.24
KAJARIR,110.43
KAKA,249.47
KAKATCEM,91.36
KAKTEX,5.94
KALAMANDIR,1675.15
KALIND,1077.86
KALLAM,15.46
KALPACOMME,9.32
KALPATARU,6700.07
KALYANCAP,37.76
KALYANI,397.26
KALYANIFRG,220.37
KALYANKJIL,41306.82
KAMADGIRI,55.79
KAMAHOLD,8383.09
KAMANWALA,23.56
KAMATHOTEL,544.04
KAMATS,83.12
KAMDHENU,660.85
KAMOPAINTS,164.94
KANANIIND,30.8
KANCHI,155.91
KANCOTEA,32.63
KANDAGIRI,16.02
KANELIND,32.68
KANISHK,46.12
KANORICHEM,354.67
KANPRPLA,448.48
KANSAINER,16739.14
KANSHST,155.58
KANUNGO,4.82
KAPILRAJ,29.28
KAPSTON,894.8
KARANWO,8.86
KARBON,199.67
KARMAENG,50.88
KARNAVATI,13.81
KARNAWATI,82.0
KARTKIN,102.89
KARURVYSYA,28144.19
KASTURI,61.14
KATIPATANG,77.82
KATRSPG,28.64
KAUSHALYA,29.59
KAVDEFENCE,176.4
KAYA,447.53
KAYCEEI,267.05
KAYNES,24537.4
KAYPOWR,35.7
KBSINDIA,14.64
KCDGROUP,13.96
KCL,7.58
KCLINFRA,22.1
KCP,2115.5
KCPSUGIND,271.12
KCSL,4.74
KDDL,3031.25
KDJHRL,19.95
KDLL,1.77
KDML,293.18
KEC,15299.67
KECL,674.11
KEDIACN,1.47
KEEPLEARN,32.09
KEERTHI,41.67
KEI,45234.7
KEIL,136.14
KEL,19.17
KELENRG,407.16
KELLTONTEC,860.66
KEMISTAR,70.97
KEMP,111.24
KENFIN,3.8
KENGI,0.48
KENNAMET,5383.38
KENRIK,11.03
KENVI,29.06
KERALAYUR,275.94
KERNEX,2229.53
KESAR,3381.25
KESARENT,59.06
KESARPE,215.11
KESORAMIND,321.51
KETOMOTORS,222.71
KEYCORP,45.31
KEYFINSERV,158.16
KFBL,61.49
KFINTECH,16163.62
KGDENIM,40.07
KGES,8.19
KGL,24.47
KGPETRO,107.34
KGVL,34.53
KHADIM,224.29
KHAICHEM,565.64
KHAITANLTD,53.19
KHANDSE,27.08
KHAZANCHI,1715.9
KHODAY,169.38
KHOOBSURAT,25.05
KHTRFIB,3.4
KHYATI,2.79
KIAASA,93.1
KICL,2107.26
KIDUJA,43.76
KIFS,129.35
KILBURN,0.74
KILITCH,572.63
KIMIABL,155.6
KIMS,27675.23
KINETICENG,612.32
KINETRU,15.03
KINGFA,6243.24
KINGSINFR,309.44
KIOCL,22463.24
KIRANPR,13.69
KIRANSY-B,7.09
KIRANVYPAR,507.31
KIRIINDUS,2588.93
KIRLFER,7089.51
KIRLOSBROS,12987.35
KIRLOSENG,22368.58
KIRLOSIND,3277.44
KIRLPNU,8582.67
KISAAN,15.75
KISAN,361.95
KISSHT,4306.58
KITEX,3347.37
KIZI,11.66
KJMCCORP,20.64
KJMCFIN,24.95
KKALPANAIND,72.98
KKCL,2897.29
KKPLASTICK,15.45
KKSHL,26.65
KKSILK,28.68
KLBRENG-B,2644.89
KLGCAP,6.36
KLIFESTYL,23.06
KLRFM,90.78
KMCSHIL,1485.63
KMEW,4418.84
KMFBLDR,8.9
KMGMILK,25.47
KMSL,5.66
KMSMEDI,42.32
KMSUGAR,244.47
KNAGRI,469.82
KNRCON,3720.41
KOBO,7.74
KOCL,2.39
KOHINOOR,92.03
KOIYAIN,6.93
KOKUYOCMLN,856.24
KOLTEPATIL,3198.88
KONARKSY,23.63
KONNDOR,8.43
KOPRAN,727.64
KOTAKBANK,394000.87
KOTARISUG,211.64
KOTHARIPET,715.71
KOTHARIPRO,412.85
KOTIC,1941.52
KOTYARK,417.52
KOURA,19.38
KOVAI,5965.41
KPEL,2172.9
KPGEL,1960.53
KPIGREEN,8184.07
