symbol,mcap_cr
ANANDRATHI,27475.11
ANANTRAJ,18561.52
ANDHRAPAP,1283.23
ANDHRAPET,358.16
ANDHRSUGAR,1076.57
ANDREWYU,1100.71
ANG,34.67
ANGEL,32.44
ANGELONE,25611.97
ANIKINDS,124.59
ANIRIT,118.35
ANJANI,36.01
ANJANIFIN,10.48
ANJANIFOODS,51.51
ANKIN,141.37
ANKITMETAL,22.87
ANL,162.37
ANMOL,67.05
ANNAINFRA,11.97
ANSALAPI,56.2
ANSALBU,74.69
ANSALHSG,54.14
ANSINDUS,15.77
ANTARIKSH,0.04
ANTELOPUS,2200.04
ANTGRAPHIC,13.3
ANTHEM,39495.37
ANUBHAV,81.51
ANUHPHR,778.23
ANUP,3826.9
ANUPAM,41.58
ANURAS,14735.88
ANUROOP,13.52
ANVRDHI,28.83
APARINDS,44442.63
APCL,357.61
APCOTEXIND,2132.3
APEX,1225.38
APIL,13.32
APIS,918.47
APL,67.41
APLAB,291.95
APLAPOLLO,55066.96
APLLTD,14765.41
APMIN,89.36
APOLLO,10077.69
APOLLOFI,137.33
APOLLOHOSP,110663.01
APOLLOIN,33.34
APOLLOPIPE,1774.21
APOLLOTYRE,28016.08
APOLSINHOT,312.69
APOORVA,70.1
APPL,246.77
APTANN,0.38
APTECHT,539.38
APTPACK,150.54
APTUS,12650.31
AQYLON,2526.29
ARAVALIS,6.74
ARCEEIN,7.36
ARCFIN,50.47
ARCHIDPLY,162.41
ARCHIES,51.07
ARCHITORG,93.4
ARCL,165.15
ARCOTECH,24.57
ARDIALL,0.11
ARE&M,15262.0
ARENTERP,12.48
AREXMIS,42.7
ARFIN,1410.92
ARIES,444.81
ARIGATO,30.28
ARIHANT,980.12
ARIHANTCAP,791.49
ARIHANTINS,1.47
ARIHANTSUP,1136.12
ARIS,943.92
ARISE,10.11
ARISINT,55.11
ARITAS,35.42
ARKADE,2160.69
ARL,288.79
ARMAN,55.75
ARMANFIN,1665.8
ARNOLD,30.94
AROGRANITE,40.35
ARROWGREEN,735.07
ARROWHEAD,13.41
ARSHIYA,34.04
ARSSBL,3442.5
ARSSINFRA,124.7
ARTEFACT,44.0
ARTEMISMED,3906.15
ARTNIRMAN,103.59
ARTSON,556.51
ARUNAHTEL,26.88
ARUR,6.14
ARVEE,179.13
ARVIND,10346.13
ARVINDFASN,6054.26
ARVSMART,2627.23
ARYACAPM,524.71
ARYAMAN,761.55
ARYAN,6.29
ARYAVAN,35.42
ASAHIIND,33.82
ASAHIINDIA,22652.51
ASAHISONG,275.21
ASAL,745.34
ASALCBR,1592.42
ASARFI,376.18
ASCENSIVE,78.43
ASEEMG,2.86
ASGARD,680.69
ASHAI,4.46
